0.0625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5834009051322937, 'RMSE_adversarial': 0.14509862661361694, 'RMSE_pred': 75.43195343017578, 'L0': tensor(23.0130)}
0.0625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.582987904548645, 'RMSE_adversarial': 0.14509987831115723, 'RMSE_pred': 75.43248748779297, 'L0': tensor(23.0519)}
0.0625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5836277008056641, 'RMSE_adversarial': 0.14505089819431305, 'RMSE_pred': 75.43205261230469, 'L0': tensor(23.0649)}
0.0625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5870431661605835, 'RMSE_adversarial': 0.1448395997285843, 'RMSE_pred': 75.4293441772461, 'L0': tensor(23.1039)}
0.03125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 9.838464736938477, 'RMSE_adversarial': 0.05885839834809303, 'RMSE_pred': 67.63758087158203, 'L0': tensor(23.)}
0.03125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 7.263734340667725, 'RMSE_adversarial': 0.11526994407176971, 'RMSE_pred': 72.27296447753906, 'L0': tensor(21.9091)}
0.03125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 2.4891083240509033, 'RMSE_adversarial': 0.13550885021686554, 'RMSE_pred': 75.09954071044922, 'L0': tensor(23.)}
0.03125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0177286863327026, 'RMSE_adversarial': 0.14343348145484924, 'RMSE_pred': 75.414306640625, 'L0': tensor(23.)}
0.03125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6397223472595215, 'RMSE_adversarial': 0.14597827196121216, 'RMSE_pred': 75.42388153076172, 'L0': tensor(22.7143)}
0.03125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5786935091018677, 'RMSE_adversarial': 0.14533154666423798, 'RMSE_pred': 75.4369125366211, 'L0': tensor(23.)}
0.03125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5793253779411316, 'RMSE_adversarial': 0.14524836838245392, 'RMSE_pred': 75.43693542480469, 'L0': tensor(23.)}
0.03125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5808525681495667, 'RMSE_adversarial': 0.1451844871044159, 'RMSE_pred': 75.43511199951172, 'L0': tensor(23.0130)}
0.03125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5843715071678162, 'RMSE_adversarial': 0.14502926170825958, 'RMSE_pred': 75.43118286132812, 'L0': tensor(23.0390)}
