0.0078125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.5197319984436035, 'RMSE_adversarial': 0.047087326645851135, 'RMSE_pred': 74.56817626953125, 'L0': tensor(10.)}
0.0078125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.687260627746582, 'RMSE_adversarial': 0.04660065472126007, 'RMSE_pred': 74.59648895263672, 'L0': tensor(9.8052)}
0.0078125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.507591247558594, 'RMSE_adversarial': 0.04742920771241188, 'RMSE_pred': 74.64483642578125, 'L0': tensor(9.7403)}
0.00390625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 22.13509750366211, 'RMSE_adversarial': 0.030416209250688553, 'RMSE_pred': 59.88507080078125, 'L0': tensor(4.0130)}
0.00390625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 15.781167984008789, 'RMSE_adversarial': 0.060522306710481644, 'RMSE_pred': 63.232154846191406, 'L0': tensor(5.3506)}
0.00390625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 18.064443588256836, 'RMSE_adversarial': 0.06662845611572266, 'RMSE_pred': 61.247188568115234, 'L0': tensor(4.7792)}
0.00390625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 15.08344554901123, 'RMSE_adversarial': 0.0698581263422966, 'RMSE_pred': 66.47938537597656, 'L0': tensor(4.8571)}
0.00390625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 13.421088218688965, 'RMSE_adversarial': 0.06765955686569214, 'RMSE_pred': 69.14580535888672, 'L0': tensor(5.1299)}
0.00390625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 11.114787101745605, 'RMSE_adversarial': 0.06057488173246384, 'RMSE_pred': 71.85478210449219, 'L0': tensor(5.6623)}
0.00390625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 10.600606918334961, 'RMSE_adversarial': 0.05823412165045738, 'RMSE_pred': 72.41275024414062, 'L0': tensor(5.8312)}
0.00390625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 10.353948593139648, 'RMSE_adversarial': 0.055855248123407364, 'RMSE_pred': 72.77847290039062, 'L0': tensor(5.6753)}
0.00390625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 9.834362983703613, 'RMSE_adversarial': 0.053723033517599106, 'RMSE_pred': 73.20801544189453, 'L0': tensor(6.1429)}
0.001953125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 29.662328720092773, 'RMSE_adversarial': 0.02522575668990612, 'RMSE_pred': 53.966495513916016, 'L0': tensor(3.0390)}
0.001953125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 26.37724494934082, 'RMSE_adversarial': 0.03922387585043907, 'RMSE_pred': 52.260562896728516, 'L0': tensor(2.8442)}
0.001953125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 25.78626823425293, 'RMSE_adversarial': 0.04678208753466606, 'RMSE_pred': 53.63446807861328, 'L0': tensor(2.6364)}
0.001953125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 24.504762649536133, 'RMSE_adversarial': 0.05441813915967941, 'RMSE_pred': 55.74567413330078, 'L0': tensor(2.2987)}
0.001953125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 23.211097717285156, 'RMSE_adversarial': 0.057611122727394104, 'RMSE_pred': 58.024200439453125, 'L0': tensor(2.3247)}
0.001953125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 22.587541580200195, 'RMSE_adversarial': 0.059663135558366776, 'RMSE_pred': 60.054134368896484, 'L0': tensor(2.4545)}
0.001953125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 24.92628288269043, 'RMSE_adversarial': 0.054398998618125916, 'RMSE_pred': 56.55815887451172, 'L0': tensor(1.9351)}
0.001953125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 24.86334800720215, 'RMSE_adversarial': 0.0532107949256897, 'RMSE_pred': 56.44301986694336, 'L0': tensor(1.7792)}
0.001953125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 24.404523849487305, 'RMSE_adversarial': 0.05344073846936226, 'RMSE_pred': 57.26250457763672, 'L0': tensor(1.7143)}
0.0009765625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 38.46537399291992, 'RMSE_adversarial': 0.020321952179074287, 'RMSE_pred': 46.6359748840332, 'L0': tensor(1.4935)}
0.0009765625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 31.89217185974121, 'RMSE_adversarial': 0.03470855951309204, 'RMSE_pred': 48.208316802978516, 'L0': tensor(1.5714)}
0.0009765625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 31.319541931152344, 'RMSE_adversarial': 0.03816024959087372, 'RMSE_pred': 50.13975524902344, 'L0': tensor(1.7403)}
0.0009765625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 31.231731414794922, 'RMSE_adversarial': 0.039615798741579056, 'RMSE_pred': 51.15776824951172, 'L0': tensor(2.0260)}
0.0009765625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 30.962085723876953, 'RMSE_adversarial': 0.04095419868826866, 'RMSE_pred': 51.32743453979492, 'L0': tensor(1.7792)}
0.0009765625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 33.316246032714844, 'RMSE_adversarial': 0.03946109488606453, 'RMSE_pred': 51.780548095703125, 'L0': tensor(1.5844)}
0.0009765625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 34.442771911621094, 'RMSE_adversarial': 0.03836195915937424, 'RMSE_pred': 51.42046356201172, 'L0': tensor(1.4416)}
0.0009765625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 35.320556640625, 'RMSE_adversarial': 0.03748757019639015, 'RMSE_pred': 51.589752197265625, 'L0': tensor(1.3506)}
0.0009765625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 33.888423919677734, 'RMSE_adversarial': 0.038021426647901535, 'RMSE_pred': 52.23038864135742, 'L0': tensor(1.1948)}
0.00048828125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 54.29481506347656, 'RMSE_adversarial': 0.014825902879238129, 'RMSE_pred': 33.82987976074219, 'L0': tensor(0.3896)}
0.00048828125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 40.14435577392578, 'RMSE_adversarial': 0.023478925228118896, 'RMSE_pred': 40.468379974365234, 'L0': tensor(1.5325)}
0.00048828125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 40.279685974121094, 'RMSE_adversarial': 0.028278512880206108, 'RMSE_pred': 42.060462951660156, 'L0': tensor(1.5974)}
0.00048828125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 41.92953872680664, 'RMSE_adversarial': 0.028108322992920876, 'RMSE_pred': 41.726707458496094, 'L0': tensor(1.7273)}
0.00048828125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 46.286094665527344, 'RMSE_adversarial': 0.02532755210995674, 'RMSE_pred': 38.52980422973633, 'L0': tensor(1.9091)}
0.00048828125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 65.91268920898438, 'RMSE_adversarial': 0.004661032930016518, 'RMSE_pred': 21.63486671447754, 'L0': tensor(1.5325)}
0.00048828125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 68.01192474365234, 'RMSE_adversarial': 0.0008215825073421001, 'RMSE_pred': 20.68592643737793, 'L0': tensor(1.1688)}
0.00048828125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 68.579345703125, 'RMSE_adversarial': 0.0006497111753560603, 'RMSE_pred': 20.86676025390625, 'L0': tensor(1.0779)}
0.00048828125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 69.11817169189453, 'RMSE_adversarial': 0.0004865250375587493, 'RMSE_pred': 21.11227798461914, 'L0': tensor(0.9481)}
0.000244140625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 58.7602653503418, 'RMSE_adversarial': 0.011003473773598671, 'RMSE_pred': 28.83234405517578, 'L0': tensor(0.2987)}
0.000244140625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 50.59559631347656, 'RMSE_adversarial': 0.013353804126381874, 'RMSE_pred': 30.455568313598633, 'L0': tensor(1.0130)}
0.000244140625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 60.4440803527832, 'RMSE_adversarial': 0.0035865160170942545, 'RMSE_pred': 20.92551040649414, 'L0': tensor(1.3377)}
0.000244140625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 63.81483840942383, 'RMSE_adversarial': 0.0023077356163412333, 'RMSE_pred': 20.112380981445312, 'L0': tensor(1.3117)}
0.000244140625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 65.97062683105469, 'RMSE_adversarial': 0.001576655893586576, 'RMSE_pred': 20.54273796081543, 'L0': tensor(1.0779)}
0.000244140625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 68.16378021240234, 'RMSE_adversarial': 0.0008691088878549635, 'RMSE_pred': 20.92263412475586, 'L0': tensor(0.8831)}
0.000244140625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 69.78659057617188, 'RMSE_adversarial': 0.00038243390736170113, 'RMSE_pred': 21.21727752685547, 'L0': tensor(0.2727)}
0.000244140625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.37714385986328, 'RMSE_adversarial': 7.817190635250881e-05, 'RMSE_pred': 21.44190788269043, 'L0': tensor(0.0130)}
0.000244140625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.37744140625, 'RMSE_adversarial': 7.776182610541582e-05, 'RMSE_pred': 21.4425106048584, 'L0': tensor(0.0130)}
0.0001220703125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 66.566650390625, 'RMSE_adversarial': 0.004768824204802513, 'RMSE_pred': 22.441190719604492, 'L0': tensor(0.1169)}
0.0001220703125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 62.40183639526367, 'RMSE_adversarial': 0.003484328044578433, 'RMSE_pred': 21.692718505859375, 'L0': tensor(0.7532)}
0.0001220703125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 65.04298400878906, 'RMSE_adversarial': 0.002223173389211297, 'RMSE_pred': 21.431581497192383, 'L0': tensor(0.8052)}
0.0001220703125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 66.87583923339844, 'RMSE_adversarial': 0.0015631477581337094, 'RMSE_pred': 20.83034896850586, 'L0': tensor(0.7143)}
0.0001220703125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 69.797607421875, 'RMSE_adversarial': 0.0005284275976009667, 'RMSE_pred': 21.20860481262207, 'L0': tensor(0.1299)}
0.0001220703125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.3780746459961, 'RMSE_adversarial': 0.0, 'RMSE_pred': 21.443784713745117, 'L0': tensor(0.)}
0.0001220703125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.3780746459961, 'RMSE_adversarial': 0.0, 'RMSE_pred': 21.443784713745117, 'L0': tensor(0.)}
0.0001220703125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.37759399414062, 'RMSE_adversarial': 7.758736319374293e-05, 'RMSE_pred': 21.44281005859375, 'L0': tensor(0.0130)}
0.0001220703125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 70.37776184082031, 'RMSE_adversarial': 7.748309872113168e-05, 'RMSE_pred': 21.443138122558594, 'L0': tensor(0.0130)}
