0.0078125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 4.790762901306152, 'RMSE_adversarial': 0.05628586560487747, 'RMSE_pred': 74.9180679321289, 'L0': tensor(7.0260)}
0.0078125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.101919174194336, 'RMSE_adversarial': 0.0540030263364315, 'RMSE_pred': 74.7237777709961, 'L0': tensor(8.3896)}
0.0078125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.336238384246826, 'RMSE_adversarial': 0.0541432723402977, 'RMSE_pred': 74.73222351074219, 'L0': tensor(8.8442)}
0.0078125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 5.816004276275635, 'RMSE_adversarial': 0.055084217339754105, 'RMSE_pred': 74.9657211303711, 'L0': tensor(9.3636)}
0.0078125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 3.658952474594116, 'RMSE_adversarial': 0.05711929872632027, 'RMSE_pred': 75.43014526367188, 'L0': tensor(10.9221)}
0.00390625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 12.758122444152832, 'RMSE_adversarial': 0.057522863149642944, 'RMSE_pred': 65.01936340332031, 'L0': tensor(2.9351)}
0.00390625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 12.40856647491455, 'RMSE_adversarial': 0.07336487621068954, 'RMSE_pred': 65.83366394042969, 'L0': tensor(2.5714)}
0.00390625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 9.496926307678223, 'RMSE_adversarial': 0.06426425278186798, 'RMSE_pred': 70.77458190917969, 'L0': tensor(3.2987)}
0.00390625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 10.013253211975098, 'RMSE_adversarial': 0.061128076165914536, 'RMSE_pred': 71.18859100341797, 'L0': tensor(4.0519)}
0.00390625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 10.401132583618164, 'RMSE_adversarial': 0.05793347582221031, 'RMSE_pred': 71.67942810058594, 'L0': tensor(4.4675)}
0.00390625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 12.10778522491455, 'RMSE_adversarial': 0.05540376901626587, 'RMSE_pred': 71.30054473876953, 'L0': tensor(5.4545)}
0.00390625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 11.410544395446777, 'RMSE_adversarial': 0.05348142236471176, 'RMSE_pred': 72.3080825805664, 'L0': tensor(5.9221)}
0.00390625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 9.997715950012207, 'RMSE_adversarial': 0.05082060769200325, 'RMSE_pred': 73.26252746582031, 'L0': tensor(6.6494)}
0.00390625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 6.3876447677612305, 'RMSE_adversarial': 0.05651477351784706, 'RMSE_pred': 74.78944396972656, 'L0': tensor(8.6623)}
0.001953125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 18.20281219482422, 'RMSE_adversarial': 0.059388261288404465, 'RMSE_pred': 60.099910736083984, 'L0': tensor(1.9351)}
0.001953125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 18.681215286254883, 'RMSE_adversarial': 0.0636506974697113, 'RMSE_pred': 60.71238327026367, 'L0': tensor(2.2987)}
0.001953125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 23.2548770904541, 'RMSE_adversarial': 0.05298193544149399, 'RMSE_pred': 56.71516418457031, 'L0': tensor(3.4805)}
0.001953125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 22.533864974975586, 'RMSE_adversarial': 0.05712702125310898, 'RMSE_pred': 58.55413055419922, 'L0': tensor(2.8701)}
0.001953125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 21.218542098999023, 'RMSE_adversarial': 0.060050807893276215, 'RMSE_pred': 61.217166900634766, 'L0': tensor(2.8052)}
0.001953125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 18.23520851135254, 'RMSE_adversarial': 0.06263426691293716, 'RMSE_pred': 65.40342712402344, 'L0': tensor(2.6494)}
0.001953125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 17.74940299987793, 'RMSE_adversarial': 0.05862727761268616, 'RMSE_pred': 66.83773040771484, 'L0': tensor(3.2208)}
0.001953125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 15.08288860321045, 'RMSE_adversarial': 0.05812519043684006, 'RMSE_pred': 68.89772033691406, 'L0': tensor(3.8571)}
0.001953125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 10.088249206542969, 'RMSE_adversarial': 0.05046834796667099, 'RMSE_pred': 73.29747009277344, 'L0': tensor(6.5584)}
0.0009765625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 25.78936195373535, 'RMSE_adversarial': 0.037329599261283875, 'RMSE_pred': 52.416717529296875, 'L0': tensor(2.2857)}
0.0009765625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 30.95513916015625, 'RMSE_adversarial': 0.027612246572971344, 'RMSE_pred': 47.07590103149414, 'L0': tensor(3.4156)}
0.0009765625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 31.094865798950195, 'RMSE_adversarial': 0.041621312499046326, 'RMSE_pred': 48.596248626708984, 'L0': tensor(2.6234)}
0.0009765625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 29.33810043334961, 'RMSE_adversarial': 0.050580963492393494, 'RMSE_pred': 51.22274398803711, 'L0': tensor(1.8961)}
0.0009765625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 28.549585342407227, 'RMSE_adversarial': 0.05342452973127365, 'RMSE_pred': 52.533447265625, 'L0': tensor(1.5455)}
0.0009765625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 29.47968292236328, 'RMSE_adversarial': 0.055646512657403946, 'RMSE_pred': 54.449127197265625, 'L0': tensor(1.5195)}
0.0009765625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 29.409217834472656, 'RMSE_adversarial': 0.05491700768470764, 'RMSE_pred': 55.645851135253906, 'L0': tensor(1.6883)}
0.0009765625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 26.178726196289062, 'RMSE_adversarial': 0.057407964020967484, 'RMSE_pred': 60.14118957519531, 'L0': tensor(2.0519)}
0.0009765625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 17.9514217376709, 'RMSE_adversarial': 0.055384211242198944, 'RMSE_pred': 67.96651458740234, 'L0': tensor(3.9221)}
0.00048828125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 34.47792053222656, 'RMSE_adversarial': 0.012448448687791824, 'RMSE_pred': 41.9044075012207, 'L0': tensor(2.0519)}
0.00048828125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 37.849483489990234, 'RMSE_adversarial': 0.018458712846040726, 'RMSE_pred': 39.349185943603516, 'L0': tensor(2.1688)}
0.00048828125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 39.15504837036133, 'RMSE_adversarial': 0.024208050221204758, 'RMSE_pred': 38.9587516784668, 'L0': tensor(2.1948)}
0.00048828125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 38.62236022949219, 'RMSE_adversarial': 0.03357112780213356, 'RMSE_pred': 41.6531867980957, 'L0': tensor(1.8312)}
0.00048828125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 37.29228973388672, 'RMSE_adversarial': 0.040487565100193024, 'RMSE_pred': 43.75094985961914, 'L0': tensor(1.2078)}
0.00048828125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 39.29878234863281, 'RMSE_adversarial': 0.03880850225687027, 'RMSE_pred': 43.94020080566406, 'L0': tensor(1.0649)}
0.00048828125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 42.24276351928711, 'RMSE_adversarial': 0.03732042759656906, 'RMSE_pred': 40.99687194824219, 'L0': tensor(0.9610)}
0.00048828125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 40.979896545410156, 'RMSE_adversarial': 0.04188549891114235, 'RMSE_pred': 44.10106658935547, 'L0': tensor(1.0130)}
0.00048828125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 27.031667709350586, 'RMSE_adversarial': 0.0541350357234478, 'RMSE_pred': 61.144161224365234, 'L0': tensor(1.9740)}
0.000244140625, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 40.81910705566406, 'RMSE_adversarial': 0.008724221959710121, 'RMSE_pred': 34.90265655517578, 'L0': tensor(1.0779)}
0.000244140625, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 44.3014030456543, 'RMSE_adversarial': 0.008122958242893219, 'RMSE_pred': 31.04846954345703, 'L0': tensor(1.5325)}
0.000244140625, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 47.668296813964844, 'RMSE_adversarial': 0.013481809757649899, 'RMSE_pred': 28.583215713500977, 'L0': tensor(1.3506)}
0.000244140625, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 47.2536506652832, 'RMSE_adversarial': 0.019572855904698372, 'RMSE_pred': 31.658607482910156, 'L0': tensor(1.1429)}
0.000244140625, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 50.5533561706543, 'RMSE_adversarial': 0.016627022996544838, 'RMSE_pred': 28.112791061401367, 'L0': tensor(1.0390)}
0.000244140625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 53.30595016479492, 'RMSE_adversarial': 0.018612705171108246, 'RMSE_pred': 25.650527954101562, 'L0': tensor(0.7403)}
0.000244140625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 55.23112869262695, 'RMSE_adversarial': 0.017216965556144714, 'RMSE_pred': 23.998218536376953, 'L0': tensor(0.7143)}
0.000244140625, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 54.42970657348633, 'RMSE_adversarial': 0.01948760636150837, 'RMSE_pred': 27.023958206176758, 'L0': tensor(0.5844)}
0.000244140625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 39.666465759277344, 'RMSE_adversarial': 0.04552322253584862, 'RMSE_pred': 45.842506408691406, 'L0': tensor(0.6623)}
0.0001220703125, 1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 46.60258483886719, 'RMSE_adversarial': 0.0064489273354411125, 'RMSE_pred': 29.62356185913086, 'L0': tensor(0.6623)}
0.0001220703125, 2, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 50.24601745605469, 'RMSE_adversarial': 0.0034667227882891893, 'RMSE_pred': 24.349407196044922, 'L0': tensor(0.7403)}
0.0001220703125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 53.597015380859375, 'RMSE_adversarial': 0.002191075822338462, 'RMSE_pred': 19.973369598388672, 'L0': tensor(0.6753)}
0.0001220703125, 4, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 55.26353073120117, 'RMSE_adversarial': 0.0028251504991203547, 'RMSE_pred': 18.873594284057617, 'L0': tensor(0.5844)}
0.0001220703125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 56.1778678894043, 'RMSE_adversarial': 0.005824822932481766, 'RMSE_pred': 19.021745681762695, 'L0': tensor(0.5455)}
0.0001220703125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 58.304771423339844, 'RMSE_adversarial': 0.007770829368382692, 'RMSE_pred': 18.90572738647461, 'L0': tensor(0.3506)}
0.0001220703125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 59.1916389465332, 'RMSE_adversarial': 0.00814867578446865, 'RMSE_pred': 18.369585037231445, 'L0': tensor(0.2468)}
0.0001220703125, 12, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 59.635589599609375, 'RMSE_adversarial': 0.009769621305167675, 'RMSE_pred': 18.955902099609375, 'L0': tensor(0.1948)}
0.0001220703125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 55.88877487182617, 'RMSE_adversarial': 0.019561391323804855, 'RMSE_pred': 26.83640480041504, 'L0': tensor(0.1818)}
