0.0625, 2, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6839647889137268, 'RMSE_adversarial': 0.07663911581039429, 'RMSE_pred': 75.53661346435547, 'L0': tensor(14.1169)}
0.0625, 2, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6846920847892761, 'RMSE_adversarial': 0.07664497941732407, 'RMSE_pred': 75.53665924072266, 'L0': tensor(13.7273)}
0.0625, 2, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6842480897903442, 'RMSE_adversarial': 0.07664946466684341, 'RMSE_pred': 75.53672790527344, 'L0': tensor(13.4026)}
0.0625, 2, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.5641014575958252, 'RMSE_adversarial': 0.0774255096912384, 'RMSE_pred': 75.54798889160156, 'L0': tensor(13.)}
0.0625, 5, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6872281432151794, 'RMSE_adversarial': 0.07662419974803925, 'RMSE_pred': 75.53508758544922, 'L0': tensor(14.1039)}
0.0625, 5, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6855769157409668, 'RMSE_adversarial': 0.07660199701786041, 'RMSE_pred': 75.53489685058594, 'L0': tensor(13.7013)}
0.0625, 5, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6855303645133972, 'RMSE_adversarial': 0.07662383466959, 'RMSE_pred': 75.53535461425781, 'L0': tensor(13.4026)}
0.0625, 5, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6505832672119141, 'RMSE_adversarial': 0.07682096213102341, 'RMSE_pred': 75.537353515625, 'L0': tensor(13.0649)}
0.0625, 8, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6885693669319153, 'RMSE_adversarial': 0.07655554264783859, 'RMSE_pred': 75.53234100341797, 'L0': tensor(14.1299)}
0.0625, 8, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.689668595790863, 'RMSE_adversarial': 0.07657253742218018, 'RMSE_pred': 75.53260040283203, 'L0': tensor(13.6494)}
0.0625, 8, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6890885829925537, 'RMSE_adversarial': 0.07658544182777405, 'RMSE_pred': 75.53337860107422, 'L0': tensor(13.4026)}
0.0625, 8, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.6815624237060547, 'RMSE_adversarial': 0.07670146226882935, 'RMSE_pred': 75.53485107421875, 'L0': tensor(13.1299)}
0.03125, 1, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0594209432601929, 'RMSE_adversarial': 0.0718882754445076, 'RMSE_pred': 75.38668823242188, 'L0': tensor(12.3247)}
0.03125, 1, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0575945377349854, 'RMSE_adversarial': 0.0718894749879837, 'RMSE_pred': 75.38699340820312, 'L0': tensor(11.7143)}
0.03125, 1, 0.03, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.014751672744751, 'RMSE_adversarial': 0.07193194329738617, 'RMSE_pred': 75.3949203491211, 'L0': tensor(11.0779)}
0.03125, 1, 0.1, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 0.8895396590232849, 'RMSE_adversarial': 0.072516530752182, 'RMSE_pred': 75.4022445678711, 'L0': tensor(10.6623)}
0.03125, 2, 0.003, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.058027744293213, 'RMSE_adversarial': 0.07187612354755402, 'RMSE_pred': 75.38616180419922, 'L0': tensor(12.3247)}
0.03125, 2, 0.01, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 1.0608325004577637, 'RMSE_adversarial': 0.07187382131814957, 'RMSE_pred': 75.385986328125, 'L0': tensor(11.7532)}
