0.000244140625, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 52.1997184753418, 'RMSE_adversarial': 0.010215203277766705, 'RMSE_pred': 27.36940574645996, 'L0': tensor(4.3766)}
0.000244140625, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 52.529823303222656, 'RMSE_adversarial': 0.012154183350503445, 'RMSE_pred': 28.41339874267578, 'L0': tensor(3.7532)}
0.000244140625, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 32.97516632080078, 'RMSE_adversarial': 0.02893051505088806, 'RMSE_pred': 56.71540069580078, 'L0': tensor(1.4416)}
0.0001220703125, 0.3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 17.86486053466797, 'RMSE_adversarial': 0.01641743630170822, 'RMSE_pred': 59.410099029541016, 'L0': tensor(2.1948)}
0.0001220703125, 0.5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 21.464412689208984, 'RMSE_adversarial': 0.012285894714295864, 'RMSE_pred': 55.52765655517578, 'L0': tensor(3.4286)}
0.0001220703125, 3, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 48.061424255371094, 'RMSE_adversarial': 0.0024482400622218847, 'RMSE_pred': 25.57770347595215, 'L0': tensor(4.7273)}
0.0001220703125, 5, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 53.97260665893555, 'RMSE_adversarial': 0.001260859426110983, 'RMSE_pred': 18.80008316040039, 'L0': tensor(3.4805)}
0.0001220703125, 8, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 57.62693405151367, 'RMSE_adversarial': 0.0006358891841955483, 'RMSE_pred': 15.109569549560547, 'L0': tensor(2.3117)}
0.0001220703125, 10, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 58.69209289550781, 'RMSE_adversarial': 0.0004688067710958421, 'RMSE_pred': 14.380112648010254, 'L0': tensor(2.0260)}
0.0001220703125, 15, {'RealRUL': 64.4935073852539, 'Objective': 0, 'PredRUL': 55.13524627685547, 'RMSE_adversarial': 0.01359466090798378, 'RMSE_pred': 29.678312301635742, 'L0': tensor(0.7922)}
